OPP,GP,MPG,PPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
Wizards,49,38.5,30.3,5.6,5.2,2.3,1.0,2.6,11.3,23.3,48.7,0.6,1.5,41.3,7.0,8.4,83.3,"1,885","1,484",273,254,114,49,128,136,25
Bucks,66,38.3,32.3,6.0,4.9,2.4,0.9,2.7,11.7,22.4,52.2,0.5,1.6,33.3,8.3,9.9,84.0,"2,527","2,129",394,326,159,59,180,190,61
Kings,26,38.0,30.6,5.2,5.0,2.4,0.8,3.2,11.3,21.3,52.8,0.5,1.2,37.5,7.6,9.0,84.6,988,796,135,129,63,21,84,72,11
Nuggets,26,36.2,29.4,6.6,5.8,2.1,1.0,2.9,11.2,21.4,52.2,0.7,1.7,42.2,6.3,7.6,83.2,942,765,172,150,55,25,75,59,110
Pistons,64,39.8,29.6,6.6,5.3,2.2,0.8,2.7,10.6,22.7,46.7,0.5,1.8,26.3,7.8,9.4,83.5,"2,544","1,892",425,339,138,53,175,187,-4
Knicks,60,39.0,31.6,5.8,4.8,2.5,0.9,3.1,11.4,23.0,49.6,0.5,1.6,32.0,8.2,9.8,84.0,"2,342","1,894",349,288,150,51,183,154,47
Pacers,64,39.6,30.0,6.3,5.5,2.4,1.0,2.7,11.3,23.6,48.1,0.6,1.7,33.3,6.7,8.2,81.6,"2,536","1,918",403,353,154,66,175,179,29
Spurs,24,40.0,32.0,6.1,5.0,2.3,0.7,3.2,12.0,25.5,47.1,0.5,1.6,34.2,7.4,9.0,82.4,960,769,147,121,55,17,76,63,24
Celtics,56,37.8,30.7,6.4,5.2,2.7,0.7,2.6,11.6,23.1,50.4,0.3,1.4,24.1,7.1,8.4,83.9,"2,117","1,720",357,292,149,40,147,151,127
76ers,57,38.1,30.8,6.1,5.3,2.8,0.9,2.8,12.3,23.9,51.3,0.6,2.0,30.2,5.6,7.0,81.1,"2,173","1,757",350,303,160,51,158,158,10
SuperSonics,25,39.3,29.9,7.3,5.1,2.4,1.1,2.8,10.8,22.6,47.5,0.4,1.6,22.5,8.0,9.1,87.7,983,747,183,128,60,27,70,70,18
Trail Blazers,24,39.5,34.0,6.3,5.9,2.2,0.8,3.3,12.5,24.9,50.3,0.5,2.1,26.0,8.4,9.7,87.1,949,815,151,141,53,18,78,69,23
Warriors,26,37.7,28.8,7.0,5.8,2.7,0.7,2.3,11.2,22.0,50.8,0.8,2.0,41.5,5.6,6.8,82.4,980,749,182,151,69,17,61,64,29
