,Season,Team,Lg,Salary
0,1984-85,Chicago Bulls,NBA,"$550,000"
1,1985-86,Chicago Bulls,NBA,"$630,000"
2,1987-88,Chicago Bulls,NBA,"$845,000"
3,1988-89,Chicago Bulls,NBA,"$2,000,000"
4,1989-90,Chicago Bulls,NBA,"$2,500,000"
5,1990-91,Chicago Bulls,NBA,"$2,500,000"
6,1991-92,Chicago Bulls,NBA,"$3,250,000"
7,1992-93,Chicago Bulls,NBA,"$4,000,000"
8,1993-94,Chicago Bulls,NBA,"$4,000,000"
9,1994-95,Chicago Bulls,NBA,"$3,850,000"
10,1995-96,Chicago Bulls,NBA,"$3,850,000"
11,1996-97,Chicago Bulls,NBA,"$30,140,000"
12,1997-98,Chicago Bulls,NBA,"$33,140,000"
13,2001-02,Washington Wizards,NBA,"$1,000,000"
14,2002-03,Washington Wizards,NBA,"$1,030,000"
15,Career,(may be incomplete),,"$93,285,000"
