,0
0,1984-85 Rookie of the Year
1,1984-85 Sporting News Rookie of the Year
2,1988 All-Star Game Most Valuable Player
3,1987-88 Defensive Player of the Year
4,1987-88 Most Valuable Player
5,1987-88 Sporting News MVP
6,1988-89 Sporting News MVP
7,1991 Finals Most Valuable Player
8,1990-91 Most Valuable Player
9,1990-91 Sporting News MVP
10,1992 Finals Most Valuable Player
11,1991-92 Most Valuable Player
12,1991-92 Sporting News MVP
13,1993 Finals Most Valuable Player
14,1996 All-Star Game Most Valuable Player
15,1996 Finals Most Valuable Player
16,1995-96 Most Valuable Player
17,1995-96 Sporting News MVP
18,1997 Finals Most Valuable Player
19,1996-97 Sporting News MVP
20,1998 All-Star Game Most Valuable Player
21,1998 Finals Most Valuable Player
22,1997-98 Most Valuable Player
23,1997-98 Sporting News MVP
